atlas_id	family	resource	scene_id	row	column	x	y	width	height	semantic_name	category	description	intended_use
interior-01	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_01.png	int-01-r1c1	1	1	10	10	669	369	interior-bridge-command-room	bridge	Retro-futurist bridge with panoramic consoles.	application shell or command background
interior-01	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_01.png	int-01-r1c2	1	2	689	10	670	369	interior-machine-workshop	workshop	Tool-lined machine workshop with central engine bench.	maintenance or crafting background
interior-01	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_01.png	int-01-r1c3	1	3	1368	10	670	369	interior-pressure-door-corridor	corridor	Heavy pressure door and narrow machinery corridor.	transit or registry background
interior-01	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_01.png	int-01-r2c1	2	1	10	388	669	370	interior-compressor-room	engineering	Engineering room centered on a large compressor.	systems or logistics background
interior-01	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_01.png	int-01-r2c2	2	2	689	388	670	370	interior-infirmary-exam-room	medical	Compact infirmary with examination table and consoles.	medical or observation background
interior-01	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_01.png	int-01-r2c3	2	3	1368	388	670	370	interior-observation-passage	observation	Windowed passage overlooking exterior wreckage.	observation or world background
interior-02	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_02.png	int-02-r1c1	1	1	10	10	668	369	interior-airlock-entry	corridor	Rounded airlock entry with brass machinery.	transit background
interior-02	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_02.png	int-02-r1c2	1	2	689	10	669	369	interior-panoramic-command-room	bridge	Panoramic command room facing an exterior industrial scene.	application shell or observation background
interior-02	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_02.png	int-02-r1c3	1	3	1369	10	668	369	interior-workshop-table	workshop	Workshop with central fabrication table.	crafting or logistics background
interior-02	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_02.png	int-02-r2c1	2	1	10	389	668	369	interior-white-lit-laboratory-bay	laboratory	Bright laboratory bay with central containment bed.	import inspection or research background
interior-02	INTERIOR	/io/github/mrcalzon02/barotrauma/assets/retro_futurist_interior_atlas_10_images/retro_futurist_interior_atlas_02.png	int-02-r2c2	2	2	689	389	669	369	interior-engineering-workshop	engineering	Engineering workshop with benches and instrumentation.	maintenance background
