atlas_id	family	resource	scene_id	row	column	x	y	width	height	semantic_name	category	description	intended_use
exterior-01	EXTERIOR	/io/github/mrcalzon02/barotrauma/assets/composite_atlas_images/derelict_ships_in_stormy_industrial_wasteland.png	ext-01-r1c1	1	1	2	1	680	382	exterior-storm-damaged-carrier-at-sea	wreck	Storm-damaged carrier cutting through black water.	fleet loss, transit incident, or exterior title background
exterior-01	EXTERIOR	/io/github/mrcalzon02/barotrauma/assets/composite_atlas_images/derelict_ships_in_stormy_industrial_wasteland.png	ext-01-r1c2	1	2	684	1	680	382	exterior-submerged-long-hull	underwater-wreck	Long derelict hull resting beneath dark blue water.	wreck discovery or salvage observation
exterior-01	EXTERIOR	/io/github/mrcalzon02/barotrauma/assets/composite_atlas_images/derelict_ships_in_stormy_industrial_wasteland.png	ext-01-r1c3	1	3	1366	1	680	382	exterior-wreck-yard-over-industrial-city	shipyard	Massive broken vessel suspended over a flooded industrial yard.	fleet yard, repair, or logistics background
exterior-01	EXTERIOR	/io/github/mrcalzon02/barotrauma/assets/composite_atlas_images/derelict_ships_in_stormy_industrial_wasteland.png	ext-01-r2c1	2	1	2	385	680	381	exterior-stranded-carrier-shoreline	wreck	Stranded carrier beside a rain-soaked industrial shoreline.	recovery operation or faction crisis background
exterior-01	EXTERIOR	/io/github/mrcalzon02/barotrauma/assets/composite_atlas_images/derelict_ships_in_stormy_industrial_wasteland.png	ext-01-r2c2	2	2	684	385	680	381	exterior-derelict-under-hangar	shipyard	Derelict hull sheltered under a cavernous industrial hangar.	repair, import review, or vessel registry background
exterior-01	EXTERIOR	/io/github/mrcalzon02/barotrauma/assets/composite_atlas_images/derelict_ships_in_stormy_industrial_wasteland.png	ext-01-r2c3	2	3	1366	385	680	381	exterior-broken-battleship-in-rain	wreck	Broken battleship resting in a storm-darkened wasteland.	loss report or fleet recovery background
exterior-02	EXTERIOR	/io/github/mrcalzon02/barotrauma/assets/composite_atlas_images/dystopian_wreckage_and_industrial_haze.png	ext-02-r1c1	1	1	2	2	677	380	exterior-submerged-cruiser-wreck	underwater-wreck	Submerged cruiser lying in cold blue water.	salvage, ecology, or wreck observation
exterior-02	EXTERIOR	/io/github/mrcalzon02/barotrauma/assets/composite_atlas_images/dystopian_wreckage_and_industrial_haze.png	ext-02-r1c2	1	2	683	2	674	380	exterior-flooded-shipyard-city	shipyard	Flooded shipyard city beneath stacked industrial platforms.	world shell or logistics background
exterior-02	EXTERIOR	/io/github/mrcalzon02/barotrauma/assets/composite_atlas_images/dystopian_wreckage_and_industrial_haze.png	ext-02-r1c3	1	3	1361	2	684	380	exterior-diagonal-sunken-hull	underwater-wreck	Diagonal wreck descending into dark water.	wreck encounter or route hazard
exterior-02	EXTERIOR	/io/github/mrcalzon02/barotrauma/assets/composite_atlas_images/dystopian_wreckage_and_industrial_haze.png	ext-02-r2c1	2	1	2	385	677	380	exterior-cavernous-industrial-yard	industrial-city	Cavernous industrial yard lit by blue machinery.	simulation or station operations background
exterior-02	EXTERIOR	/io/github/mrcalzon02/barotrauma/assets/composite_atlas_images/dystopian_wreckage_and_industrial_haze.png	ext-02-r2c2	2	2	683	385	674	380	exterior-floodlit-derelict-hangar	shipyard	Derelict vessel under floodlights inside a repair cavern.	fleet maintenance or registry background
exterior-02	EXTERIOR	/io/github/mrcalzon02/barotrauma/assets/composite_atlas_images/dystopian_wreckage_and_industrial_haze.png	ext-02-r2c3	2	3	1361	385	684	380	exterior-ruined-industrial-shore	ruins	Ruined shoreline covered in industrial wreckage and haze.	frontier or disaster background
exterior-03	EXTERIOR	/io/github/mrcalzon02/barotrauma/assets/composite_atlas_images/futuristic_industrial_dystopia_grid.png	ext-03-r1c1	1	1	0	0	680	382	exterior-submerged-wreck-ridge	underwater-wreck	Submerged wreck stretched along a rocky ridge.	wreck discovery or salvage background
exterior-03	EXTERIOR	/io/github/mrcalzon02/barotrauma/assets/composite_atlas_images/futuristic_industrial_dystopia_grid.png	ext-03-r1c2	1	2	684	0	680	382	exterior-elevated-shipyard-platform	shipyard	Elevated shipyard platforms surrounding a dark basin.	fleet management background
exterior-03	EXTERIOR	/io/github/mrcalzon02/barotrauma/assets/composite_atlas_images/futuristic_industrial_dystopia_grid.png	ext-03-r1c3	1	3	1368	0	680	382	exterior-floodlit-megastructure-basin	industrial-city	Floodlit megastructure complex over black water.	application shell or world operations background
exterior-03	EXTERIOR	/io/github/mrcalzon02/barotrauma/assets/composite_atlas_images/futuristic_industrial_dystopia_grid.png	ext-03-r2c1	2	1	0	386	680	382	exterior-wreckage-field-blue-lights	ruins	Dense wreckage field marked by blue industrial lights.	recovery, exploration, or ecology background
exterior-03	EXTERIOR	/io/github/mrcalzon02/barotrauma/assets/composite_atlas_images/futuristic_industrial_dystopia_grid.png	ext-03-r2c2	2	2	684	386	680	382	exterior-suspended-carrier-hangar	shipyard	Carrier suspended beneath a massive hangar roof.	fleet construction or repair background
exterior-03	EXTERIOR	/io/github/mrcalzon02/barotrauma/assets/composite_atlas_images/futuristic_industrial_dystopia_grid.png	ext-03-r2c3	2	3	1368	386	680	382	exterior-fractured-hull-valley	wreck	Fractured hull lying in a flooded industrial valley.	casualty report or salvage background
exterior-04	EXTERIOR	/io/github/mrcalzon02/barotrauma/assets/composite_atlas_images/futuristic_industrial_landscapes_in_a_storm.png	ext-04-r1c1	1	1	7	4	676	377	exterior-grounded-submarine-storm	wreck	Grounded submarine beneath violent storm clouds.	route hazard or recovery background
exterior-04	EXTERIOR	/io/github/mrcalzon02/barotrauma/assets/composite_atlas_images/futuristic_industrial_landscapes_in_a_storm.png	ext-04-r1c2	1	2	687	4	674	377	exterior-storm-shipyard-overlook	shipyard	Storm-lashed shipyard viewed across a flooded basin.	fleet and logistics background
exterior-04	EXTERIOR	/io/github/mrcalzon02/barotrauma/assets/composite_atlas_images/futuristic_industrial_landscapes_in_a_storm.png	ext-04-r1c3	1	3	1366	4	674	377	exterior-elevated-industrial-decks	industrial-city	Layered industrial decks glowing through heavy rain.	world simulation or station operations background
exterior-04	EXTERIOR	/io/github/mrcalzon02/barotrauma/assets/composite_atlas_images/futuristic_industrial_landscapes_in_a_storm.png	ext-04-r2c1	2	1	7	383	676	378	exterior-flooded-tower-basin	industrial-city	Tall industrial tower rising from a flooded basin.	location registry or frontier background
exterior-04	EXTERIOR	/io/github/mrcalzon02/barotrauma/assets/composite_atlas_images/futuristic_industrial_landscapes_in_a_storm.png	ext-04-r2c2	2	2	687	383	674	378	exterior-rain-soaked-megacity-decks	industrial-city	Rain-soaked megacity platforms stacked above dark water.	application shell or world map background
exterior-04	EXTERIOR	/io/github/mrcalzon02/barotrauma/assets/composite_atlas_images/futuristic_industrial_landscapes_in_a_storm.png	ext-04-r2c3	2	3	1366	383	674	378	exterior-night-shipyard-towers	shipyard	Dense night shipyard framed by illuminated towers.	fleet construction or transit background
exterior-05	EXTERIOR	/io/github/mrcalzon02/barotrauma/assets/composite_atlas_images/futuristic_industrial_megastructure_collage.png	ext-05-r1c1	1	1	5	5	676	376	exterior-industrial-basin-panorama	industrial-city	Broad industrial basin beneath storm-dark platforms.	world overview background
exterior-05	EXTERIOR	/io/github/mrcalzon02/barotrauma/assets/composite_atlas_images/futuristic_industrial_megastructure_collage.png	ext-05-r1c2	1	2	686	5	676	376	exterior-flooded-platform-city	industrial-city	Flooded platform city with layered suspended structures.	station simulation background
exterior-05	EXTERIOR	/io/github/mrcalzon02/barotrauma/assets/composite_atlas_images/futuristic_industrial_megastructure_collage.png	ext-05-r1c3	1	3	1367	5	676	376	exterior-wreckage-service-yard	shipyard	Service yard crowded with damaged hulls and machinery.	logistics or repair background
exterior-05	EXTERIOR	/io/github/mrcalzon02/barotrauma/assets/composite_atlas_images/futuristic_industrial_megastructure_collage.png	ext-05-r2c1	2	1	5	386	676	377	exterior-storm-spire-ruins	ruins	Ruined spire and wreckage under turbulent skies.	frontier crisis background
exterior-05	EXTERIOR	/io/github/mrcalzon02/barotrauma/assets/composite_atlas_images/futuristic_industrial_megastructure_collage.png	ext-05-r2c2	2	2	686	386	676	377	exterior-vertical-industrial-canyon	industrial-city	Vertical industrial canyon reflected in black water.	location or faction operations background
exterior-05	EXTERIOR	/io/github/mrcalzon02/barotrauma/assets/composite_atlas_images/futuristic_industrial_megastructure_collage.png	ext-05-r2c3	2	3	1367	386	676	377	exterior-dense-flooded-megacity	industrial-city	Dense flooded megacity glowing with blue lights.	application shell background
exterior-06	EXTERIOR	/io/github/mrcalzon02/barotrauma/assets/composite_atlas_images/futuristic_industrial_shipyard_collage.png	ext-06-r1c1	1	1	7	7	672	373	exterior-derelict-hull-in-yard	shipyard	Derelict hull resting inside a flooded repair yard.	fleet recovery background
exterior-06	EXTERIOR	/io/github/mrcalzon02/barotrauma/assets/composite_atlas_images/futuristic_industrial_shipyard_collage.png	ext-06-r1c2	1	2	687	7	674	373	exterior-crane-shipyard-basin	shipyard	Crane-filled shipyard basin beneath elevated structures.	construction or logistics background
exterior-06	EXTERIOR	/io/github/mrcalzon02/barotrauma/assets/composite_atlas_images/futuristic_industrial_shipyard_collage.png	ext-06-r1c3	1	3	1369	7	672	373	exterior-elevated-freighter-yard	shipyard	Large freighter elevated over an industrial work yard.	fleet registry background
